total,function,gradient
0.13225624792277813,0.13225624792277813,3246.0364086914065
0.4346415753662586,0.4346415753662586,3703.990576171875
0.7708028590679168,0.7708028590679168,3867.673583984375
0.8343513387441635,0.8343513387441635,3790.8972143554683
0.8247985536754132,0.8247985536754132,3824.818663574218
0.8142997619509698,0.8142997619509698,3698.607917480469
0.8943668366330011,0.8943668366330011,3652.3262269810266
0.9438926214724779,0.9438926214724779,3670.63671875
0.8534791988134384,0.8534791988134384,3685.1897677951392
1.0076774161426643,1.0076774161426643,3685.2507344777964
1.078442387629037,1.078442387629037,3627.175809856376
